name,email
Gandalf,gandalf@maiar.org
Bilbo,bilbo@shire.org
Galadriel,galadriel@valinor.org
Frodo,frodo@shire.org
Boromir,boromir@gondor.org
Aragorn,aragorn@gondor.org
Elrond,elrond@valinor.org
Sam,sam@shire.org
Saruman,saruman@maiar.org
Gimli,gimli@erebor.org
Merry,merry@shire.org
Pippin,pippin@shire.org
Arwen,arwen@valinor.org
Legolas,legolas@valinor.org
Celeborn,celeborn@valinor.org
Hobbits,hobbits@shire.org
Innkeeper,innkeeper@gondor.org
Haldir,haldir@valinor.org
Ted,ted@shire.org
Gatekeeper,gatekeeper@gondor.org
Voice Of The Ring,voice_of_the_ring@maiar.org
Farmer Maggot,farmer_maggot@shire.org
Gaffer,gaffer@shire.org
Orc,orc@mordor.org
Man,man@gondor.org
Sandyman,sandyman@shire.org
Hobbit Kids,hobbit_kids@shire.org
Lobelia Sackville-Baggins,lobelia_sackville-baggins@shire.org
Lurtz,lurtz@mordor.org
Voice Of Sauron,voice_of_sauron@maiar.org
Rosie,rosie@shire.org
Mrs. Bracegirdle,mrs_bracegirdle@shire.org
Isildur,isildur@gondor.org
Proudfoot,proudfoot@shire.org
